id,name,slug,category,retail_price,bulk_price,bulk_min_qty,has_thumbnail,variant_group_id,variant_label
dee116dd-01bf-4092-8418-02b174a8a3ed,"Insulated Lunch Bag with Shoulder Strap, Grey Heather with Brown Trim, Dual Zip Closure",insulated-lunch-bag-with-shoulder-strap-grey-heather-with-brown-trim-dual-zip-cl,Accessories,499.0,,,yes,11111111-0010-0010-0010-000000000010,Grey Heather / Brown Trim
ff547685-b577-4f62-a20b-66eb04f2d9d5,3-Gear Adjustment Folding Telescopic Desktop Fan - Green,3-gear-adjustment-folding-telescopic-desktop-fan-green,Accessories,399.0,,,yes,,
f88658cf-bee8-4668-987c-e2b170069cd8,Neon LED Bar Sign,neon-led-bar-sign,Accessories,250.0,,,yes,,
62db2f13-dd08-4e94-9a10-30054d6ebb35,2-LAYER DISH DRAINER,2-layer-dish-drainer,Accessories,295.0,,,yes,,
daf5f4c0-e8ec-477f-bb7d-4a1c7a049eae,PATIO MISTCOOLING KIT,patio-mistcooling-kit,Accessories,499.0,,,yes,,
83ebbaed-8cfa-4b34-ab4c-4ffef68319a0,C16-40-32 6-Piece Professional Wrench Set,c16-40-32-6-piece-professional-wrench-set,Tools,80.0,40.0,40,yes,,
c8b53215-4e90-465a-861d-852e7df760c5,"Lock Installation Kit, Hole Saw with Mandrel and Spade Bit, for Deadbolts or Locksets, 54mm",lock-installation-kit-hole-saw-with-mandrel-and-spade-bit-for-deadbolts-or-locks,Accessories,199.0,,,yes,,
4ede05f3-336a-4263-ad72-fbe88c8d2cfd,DC 12V PORTABLE DIGITAL AIR COMPRESSOR WITH LED LIGHT,dc-12v-portable-digital-air-compressor-with-led-light,Accessories,599.0,,,yes,,
e25244cc-555c-4bbc-bb31-5f0921adc628,"Stainless Steel Can & Bottle Opener, Manual, Non-Slip Handle, Kitchen Tool",stainless-steel-can-bottle-opener-manual-non-slip-handle-kitchen-tool,Accessories,119.0,,,yes,,
d5745e98-3b33-4902-a768-0a9fc2284d4e,KLGO FAST CHARGER + HIGH-SPEED CABLE CHARGER SET - IOS KC-2S,klgo-fast-charger-high-speed-cable-charger-set-ios-kc-2s,Chargers,150.0,,,yes,,
95451aba-2de3-4909-a2e8-cc8b189a7252,"High Power Green Laser Pointer with Turn Switch Key, Black",high-power-green-laser-pointer-with-turn-switch-key-black,Accessories,274.0,,,yes,,
b4eee84a-9291-4b59-a89d-44573f89f09d,PROFESSIONAL RATCHET CRIMPING TOOL,professional-ratchet-crimping-tool,Accessories,199.0,,,yes,,
ab779800-4d7a-4d88-9f9e-0eb4266a03f2,"Car Phone Holder, Centre Console Mount, 360-Degree Adjustable, Carbon Fibre Design",car-phone-holder-centre-console-mount-360-degree-adjustable-carbon-fibre-design,Accessories,199.0,,,yes,,
6b7acfa0-3c03-48d4-916b-9c8e2f4fa030,RGB LED FLEXIBLE INDOOR STRIP LIGHTS 5 METER LENGTH,rgb-led-flexible-indoor-strip-lights-5-meter-length,Accessories,250.0,,,yes,,
4b132de5-d1a5-4413-ab8e-3133f00ea841,C15-42-28 Stainless Steel Wire Grater,c15-42-28-stainless-steel-wire-grater,Kitchen,16.0,8.0,240,yes,,
68aba5c7-e167-491b-9419-4306a2d5e435,"Hot Melt Glue Gun, DIY Home Tool, Electric, Fast and Easy, 100-240V",hot-melt-glue-gun-diy-home-tool-electric-fast-and-easy-100-240v,Accessories,199.0,,,yes,,
ff62a276-aa8c-45f5-a4eb-9e4022981ffa,5-layer Portable Rolling Storage Rack on Wheels - 105cm - BLACK,5-layer-portable-rolling-storage-rack-on-wheels-105cm-black,Accessories,799.0,,,yes,11111111-0003-0003-0003-000000000003,Black
